starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:06:05 2023	1700737565	0	3894	3894	3893
Thu Nov 23 12:05:29 2023	1700737529	0	3894	3894	3894
Thu Nov 23 12:05:53 2023	1700737553	0	3894	3894	3894
Thu Nov 23 12:05:42 2023	1700737542	0	3894	3894	3894
Thu Nov 23 12:05:44 2023	1700737544	0	3894	3894	3894
Thu Nov 23 12:05:42 2023	1700737542	0	3894	3894	3894
Thu Nov 23 12:05:29 2023	1700737529	0	3895	3895	3895
Thu Nov 23 12:05:25 2023	1700737525	0	3895	3895	3895
Thu Nov 23 12:05:36 2023	1700737536	0	3895	3895	3895
Thu Nov 23 12:06:09 2023	1700737569	0	3896	3896	3896
Thu Nov 23 12:06:01 2023	1700737561	0	3896	3896	3896
Thu Nov 23 12:05:36 2023	1700737536	0	3896	3896	3896
Thu Nov 23 12:05:25 2023	1700737525	0	3896	3896	3896
Thu Nov 23 12:05:42 2023	1700737542	0	3896	3896	3896
Thu Nov 23 12:05:24 2023	1700737524	0	3896	3896	3896
Thu Nov 23 12:05:33 2023	1700737533	0	3896	3896	3896
Thu Nov 23 12:05:24 2023	1700737524	0	3896	3896	3896
Thu Nov 23 12:05:33 2023	1700737533	0	3897	3897	3897
Thu Nov 23 12:05:51 2023	1700737551	0	3897	3897	3897
Thu Nov 23 12:05:41 2023	1700737541	0	3897	3897	3897
Thu Nov 23 12:05:50 2023	1700737550	0	3897	3898	3897
Thu Nov 23 12:05:51 2023	1700737551	0	3898	3898	3898
Thu Nov 23 12:05:33 2023	1700737533	0	3898	3898	3898
Thu Nov 23 12:05:28 2023	1700737528	0	3898	3898	3898
Thu Nov 23 12:06:01 2023	1700737561	0	3898	3898	3898
Thu Nov 23 12:05:50 2023	1700737550	0	3898	3898	3898
Thu Nov 23 12:05:31 2023	1700737531	0	3898	3898	3898
Thu Nov 23 12:05:51 2023	1700737551	0	3898	3898	3898
Thu Nov 23 12:05:33 2023	1700737533	0	3898	3898	3898
Thu Nov 23 12:05:53 2023	1700737553	0	3899	3899	3898
