starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 23:43:28 2023	1700779408	0	299	299	296
Thu Nov 23 23:44:24 2023	1700779464	0	967	967	967
Thu Nov 23 23:44:24 2023	1700779464	0	968	968	968
Thu Nov 23 23:44:24 2023	1700779464	0	968	968	968
Thu Nov 23 23:44:24 2023	1700779464	0	969	969	968
Thu Nov 23 23:43:42 2023	1700779422	0	13691	13691	13691
Thu Nov 23 23:43:42 2023	1700779422	0	13691	13691	13691
Thu Nov 23 23:43:42 2023	1700779422	0	13694	13694	13694
Thu Nov 23 23:43:42 2023	1700779422	0	13694	13694	13694
Thu Nov 23 23:43:42 2023	1700779422	0	13695	13695	13695
Thu Nov 23 23:43:42 2023	1700779422	0	13695	13696	13695
Thu Nov 23 23:43:28 2023	1700779408	3	13699	13702	13699
Thu Nov 23 23:43:28 2023	1700779408	3	13699	13702	13699
Thu Nov 23 23:43:28 2023	1700779408	3	13699	13702	13699
Thu Nov 23 23:43:28 2023	1700779408	3	13699	13702	13699
Thu Nov 23 23:43:28 2023	1700779408	3	13700	13702	13700
Thu Nov 23 23:43:28 2023	1700779408	3	13700	13703	13700
Thu Nov 23 23:43:28 2023	1700779408	3	13700	13703	13700
Thu Nov 23 23:43:28 2023	1700779408	3	13701	13703	13700
Thu Nov 23 23:43:28 2023	1700779408	3	13701	13703	13701
Thu Nov 23 23:43:28 2023	1700779408	3	13701	13703	13700
Thu Nov 23 23:43:28 2023	1700779408	3	13701	13704	13701
Thu Nov 23 23:43:28 2023	1700779408	3	13701	13704	13701
Thu Nov 23 23:43:28 2023	1700779408	3	13702	13704	13702
Thu Nov 23 23:43:28 2023	1700779408	3	13701	13704	13701
Thu Nov 23 23:43:28 2023	1700779408	3	13703	13706	13702
Thu Nov 23 23:43:28 2023	1700779408	3	13705	13708	13703
Thu Nov 23 23:43:28 2023	1700779408	3	13705	13708	13705
Thu Nov 23 23:43:28 2023	1700779408	3	13705	13708	13705
Thu Nov 23 23:43:42 2023	1700779422	0	13711	13711	13710
Thu Nov 23 23:43:42 2023	1700779422	0	13711	13711	13711
Thu Nov 23 23:43:42 2023	1700779422	0	13714	13714	13714
Thu Nov 23 23:43:42 2023	1700779422	0	13714	13715	13714
Thu Nov 23 23:43:42 2023	1700779422	0	13718	13718	13718
Thu Nov 23 23:43:42 2023	1700779422	0	13718	13718	13718
Thu Nov 23 23:43:42 2023	1700779422	0	13719	13719	13719
Thu Nov 23 23:43:42 2023	1700779422	0	13719	13719	13719
Thu Nov 23 23:43:42 2023	1700779422	0	13720	13720	13719
Thu Nov 23 23:43:42 2023	1700779422	0	13720	13720	13720
Thu Nov 23 23:43:42 2023	1700779422	0	13720	13720	13720
Thu Nov 23 23:43:42 2023	1700779422	0	13720	13720	13720
Thu Nov 23 23:43:42 2023	1700779422	0	13720	13720	13720
Thu Nov 23 23:43:42 2023	1700779422	0	13721	13721	13721
Thu Nov 23 23:43:42 2023	1700779422	0	13721	13721	13721
Thu Nov 23 23:43:42 2023	1700779422	0	13721	13721	13721
Thu Nov 23 23:43:42 2023	1700779422	0	13721	13721	13721
Thu Nov 23 23:43:42 2023	1700779422	0	13721	13721	13721
Thu Nov 23 23:43:42 2023	1700779422	0	13722	13722	13721
Thu Nov 23 23:43:42 2023	1700779422	0	13722	13722	13722
Thu Nov 23 23:43:42 2023	1700779422	0	13722	13722	13722
Thu Nov 23 23:43:42 2023	1700779422	0	13722	13722	13722
Thu Nov 23 23:43:42 2023	1700779422	0	13722	13723	13722
Thu Nov 23 23:43:42 2023	1700779422	0	13722	13723	13722
Thu Nov 23 23:43:42 2023	1700779422	0	13723	13723	13722
Thu Nov 23 23:43:42 2023	1700779422	0	13722	13723	13722
Thu Nov 23 23:43:42 2023	1700779422	0	13723	13723	13723
Thu Nov 23 23:43:42 2023	1700779422	0	13723	13723	13723
Thu Nov 23 23:43:42 2023	1700779422	0	13726	13726	13725
Thu Nov 23 23:43:28 2023	1700779408	3	13723	13726	13723
Thu Nov 23 23:43:28 2023	1700779408	3	13723	13726	13723
Thu Nov 23 23:43:28 2023	1700779408	3	13723	13726	13723
Thu Nov 23 23:43:42 2023	1700779422	0	13726	13726	13726
Thu Nov 23 23:43:28 2023	1700779408	3	13724	13727	13724
Thu Nov 23 23:43:28 2023	1700779408	3	13724	13727	13724
Thu Nov 23 23:43:28 2023	1700779408	3	13724	13727	13723
Thu Nov 23 23:43:28 2023	1700779408	3	13724	13727	13724
Thu Nov 23 23:43:28 2023	1700779408	3	13724	13727	13724
Thu Nov 23 23:43:28 2023	1700779408	3	13725	13728	13725
Thu Nov 23 23:43:28 2023	1700779408	3	13725	13728	13725
Thu Nov 23 23:43:42 2023	1700779422	0	13728	13728	13727
Thu Nov 23 23:43:28 2023	1700779408	3	13725	13728	13725
Thu Nov 23 23:43:42 2023	1700779422	0	13728	13728	13728
Thu Nov 23 23:43:42 2023	1700779422	0	13729	13729	13728
Thu Nov 23 23:43:42 2023	1700779422	0	13729	13729	13729
Thu Nov 23 23:43:42 2023	1700779422	0	13729	13729	13729
Thu Nov 23 23:43:28 2023	1700779408	3	13727	13729	13726
Thu Nov 23 23:43:42 2023	1700779422	0	13729	13729	13729
Thu Nov 23 23:43:28 2023	1700779408	3	13727	13730	13727
Thu Nov 23 23:43:28 2023	1700779408	3	13727	13730	13727
Thu Nov 23 23:43:28 2023	1700779408	3	13727	13730	13727
Thu Nov 23 23:43:42 2023	1700779422	0	13730	13730	13730
Thu Nov 23 23:43:28 2023	1700779408	3	13727	13730	13727
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13730	13727
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13731	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13731	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13731	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13731	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13731	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13731	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13728	13731	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13729	13732	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13729	13732	13728
Thu Nov 23 23:43:28 2023	1700779408	3	13729	13732	13729
Thu Nov 23 23:43:28 2023	1700779408	3	13729	13732	13729
Thu Nov 23 23:43:28 2023	1700779408	3	13729	13732	13729
Thu Nov 23 23:43:28 2023	1700779408	3	13730	13732	13729
Thu Nov 23 23:43:28 2023	1700779408	3	13730	13733	13730
Thu Nov 23 23:43:28 2023	1700779408	3	13730	13733	13730
Thu Nov 23 23:43:28 2023	1700779408	3	13730	13733	13730
Thu Nov 23 23:43:28 2023	1700779408	3	13731	13733	13731
Thu Nov 23 23:43:28 2023	1700779408	3	13731	13734	13731
Thu Nov 23 23:43:28 2023	1700779408	3	13731	13734	13731
Thu Nov 23 23:43:28 2023	1700779408	3	13732	13734	13732
Thu Nov 23 23:43:28 2023	1700779408	3	13732	13734	13732
Thu Nov 23 23:43:28 2023	1700779408	3	13732	13735	13732
Thu Nov 23 23:43:28 2023	1700779408	3	13732	13735	13732
Thu Nov 23 23:43:28 2023	1700779408	3	13733	13735	13733
Thu Nov 23 23:43:28 2023	1700779408	3	13733	13736	13733
Thu Nov 23 23:43:28 2023	1700779408	3	13734	13736	13734
Thu Nov 23 23:43:28 2023	1700779408	3	13734	13737	13734
Thu Nov 23 23:43:42 2023	1700779422	0	13738	13738	13738
Thu Nov 23 23:43:42 2023	1700779422	0	13738	13738	13738
Thu Nov 23 23:43:42 2023	1700779422	0	13738	13738	13738
Thu Nov 23 23:43:42 2023	1700779422	0	13738	13738	13738
Thu Nov 23 23:43:42 2023	1700779422	0	13738	13738	13738
Thu Nov 23 23:43:42 2023	1700779422	0	13739	13739	13739
Thu Nov 23 23:43:42 2023	1700779422	0	13741	13741	13741
Thu Nov 23 23:43:42 2023	1700779422	0	13741	13741	13741
Thu Nov 23 23:43:42 2023	1700779422	0	13742	13743	13742
Thu Nov 23 23:43:42 2023	1700779422	0	13743	13743	13743
Thu Nov 23 23:43:42 2023	1700779422	0	13745	13746	13745
Thu Nov 23 23:43:42 2023	1700779422	0	13749	13749	13749
