starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 23:39:15 2023	1700779155	0	286	286	286
Thu Nov 23 23:39:19 2023	1700779159	0	286	286	286
Thu Nov 23 23:39:14 2023	1700779154	0	287	287	287
Thu Nov 23 23:39:16 2023	1700779156	0	287	287	287
Thu Nov 23 23:39:19 2023	1700779159	0	288	288	288
Thu Nov 23 23:39:19 2023	1700779159	0	288	288	288
Thu Nov 23 23:39:21 2023	1700779161	0	288	288	288
Thu Nov 23 23:39:37 2023	1700779177	0	288	288	288
Thu Nov 23 23:39:35 2023	1700779175	0	288	289	288
Thu Nov 23 23:39:38 2023	1700779178	0	289	289	289
Thu Nov 23 23:39:16 2023	1700779156	0	289	289	289
Thu Nov 23 23:39:15 2023	1700779155	0	289	289	289
Thu Nov 23 23:39:37 2023	1700779177	0	290	290	290
Thu Nov 23 23:39:15 2023	1700779155	0	290	290	290
Thu Nov 23 23:39:19 2023	1700779159	0	290	290	290
Thu Nov 23 23:39:34 2023	1700779174	0	290	290	290
Thu Nov 23 23:39:39 2023	1700779179	0	290	290	290
Thu Nov 23 23:39:39 2023	1700779179	0	290	290	290
Thu Nov 23 23:39:31 2023	1700779171	0	290	290	290
Thu Nov 23 23:39:28 2023	1700779168	0	290	290	290
Thu Nov 23 23:39:42 2023	1700779182	0	290	290	290
Thu Nov 23 23:39:33 2023	1700779173	0	290	290	290
Thu Nov 23 23:39:36 2023	1700779176	0	290	290	290
Thu Nov 23 23:39:43 2023	1700779183	0	291	291	290
Thu Nov 23 23:39:35 2023	1700779175	0	291	291	291
Thu Nov 23 23:39:14 2023	1700779154	0	291	291	291
Thu Nov 23 23:39:39 2023	1700779179	0	291	291	291
Thu Nov 23 23:39:23 2023	1700779163	0	291	291	291
Thu Nov 23 23:39:34 2023	1700779174	0	291	291	291
Thu Nov 23 23:39:21 2023	1700779161	0	291	291	291
Thu Nov 23 23:39:33 2023	1700779173	0	291	291	291
Thu Nov 23 23:39:40 2023	1700779180	0	291	291	291
Thu Nov 23 23:39:30 2023	1700779170	0	291	291	291
Thu Nov 23 23:39:22 2023	1700779162	0	291	291	291
Thu Nov 23 23:39:20 2023	1700779160	0	292	292	291
Thu Nov 23 23:39:21 2023	1700779161	0	292	292	291
Thu Nov 23 23:39:42 2023	1700779182	0	292	292	292
Thu Nov 23 23:39:44 2023	1700779184	0	292	292	292
Thu Nov 23 23:39:43 2023	1700779183	0	292	292	292
Thu Nov 23 23:39:29 2023	1700779169	0	292	292	292
Thu Nov 23 23:39:17 2023	1700779157	0	292	292	292
Thu Nov 23 23:39:45 2023	1700779185	0	292	292	292
Thu Nov 23 23:39:38 2023	1700779178	0	292	292	292
