starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 23:40:31 2023	1700779231	0	314	314	314
Thu Nov 23 23:41:30 2023	1700779290	0	1617	1617	1617
Thu Nov 23 23:41:30 2023	1700779290	0	1617	1617	1617
Thu Nov 23 23:41:30 2023	1700779290	0	1617	1617	1617
Thu Nov 23 23:41:30 2023	1700779290	0	1617	1617	1617
Thu Nov 23 23:41:30 2023	1700779290	0	1618	1618	1618
Thu Nov 23 23:41:30 2023	1700779290	0	1618	1618	1618
Thu Nov 23 23:41:30 2023	1700779290	0	1618	1618	1618
Thu Nov 23 23:40:52 2023	1700779252	0	1837	1837	1837
Thu Nov 23 23:40:52 2023	1700779252	0	1854	1854	1854
Thu Nov 23 23:40:52 2023	1700779252	0	1854	1854	1854
Thu Nov 23 23:40:52 2023	1700779252	0	1855	1855	1854
Thu Nov 23 23:40:52 2023	1700779252	0	1855	1855	1855
Thu Nov 23 23:40:33 2023	1700779233	0	1855	1855	1855
Thu Nov 23 23:40:52 2023	1700779252	0	1855	1855	1855
Thu Nov 23 23:40:52 2023	1700779252	0	1855	1856	1855
Thu Nov 23 23:40:52 2023	1700779252	0	1856	1856	1856
Thu Nov 23 23:41:13 2023	1700779273	0	1856	1856	1856
Thu Nov 23 23:41:13 2023	1700779273	0	1857	1857	1856
Thu Nov 23 23:41:13 2023	1700779273	0	1857	1857	1857
Thu Nov 23 23:41:13 2023	1700779273	0	1857	1857	1857
Thu Nov 23 23:41:13 2023	1700779273	0	1857	1857	1857
Thu Nov 23 23:41:13 2023	1700779273	0	1857	1857	1857
Thu Nov 23 23:41:13 2023	1700779273	0	1858	1858	1857
Thu Nov 23 23:41:13 2023	1700779273	0	1858	1858	1858
Thu Nov 23 23:41:18 2023	1700779278	0	1859	1859	1859
Thu Nov 23 23:41:17 2023	1700779277	0	1859	1859	1859
Thu Nov 23 23:41:17 2023	1700779277	0	1860	1860	1859
Thu Nov 23 23:41:17 2023	1700779277	0	1860	1860	1860
Thu Nov 23 23:41:17 2023	1700779277	0	1860	1860	1860
Thu Nov 23 23:41:17 2023	1700779277	0	1860	1860	1860
Thu Nov 23 23:41:17 2023	1700779277	0	1860	1860	1860
Thu Nov 23 23:41:17 2023	1700779277	0	1860	1860	1860
Thu Nov 23 23:41:17 2023	1700779277	0	1862	1862	1862
Thu Nov 23 23:40:56 2023	1700779256	0	1863	1863	1863
Thu Nov 23 23:41:26 2023	1700779286	0	1867	1867	1867
Thu Nov 23 23:41:26 2023	1700779286	0	1867	1868	1867
Thu Nov 23 23:41:26 2023	1700779286	0	1868	1868	1868
Thu Nov 23 23:40:58 2023	1700779258	0	1868	1868	1868
Thu Nov 23 23:41:26 2023	1700779286	0	1868	1868	1868
Thu Nov 23 23:41:26 2023	1700779286	0	1868	1868	1868
Thu Nov 23 23:40:58 2023	1700779258	1	1868	1868	1868
Thu Nov 23 23:41:26 2023	1700779286	0	1868	1868	1868
Thu Nov 23 23:41:26 2023	1700779286	0	1868	1868	1868
Thu Nov 23 23:40:58 2023	1700779258	1	1868	1868	1868
Thu Nov 23 23:41:26 2023	1700779286	0	1868	1869	1868
Thu Nov 23 23:40:58 2023	1700779258	0	1869	1869	1868
Thu Nov 23 23:41:11 2023	1700779271	0	1869	1869	1869
Thu Nov 23 23:40:58 2023	1700779258	0	1869	1869	1869
Thu Nov 23 23:40:58 2023	1700779258	0	1869	1869	1869
Thu Nov 23 23:40:58 2023	1700779258	0	1870	1870	1870
Thu Nov 23 23:40:58 2023	1700779258	0	1870	1870	1870
Thu Nov 23 23:40:46 2023	1700779246	0	1871	1871	1871
Thu Nov 23 23:40:46 2023	1700779246	0	1871	1871	1871
Thu Nov 23 23:40:59 2023	1700779259	0	1871	1871	1871
Thu Nov 23 23:40:54 2023	1700779254	0	1872	1872	1872
Thu Nov 23 23:40:59 2023	1700779259	0	1872	1872	1872
Thu Nov 23 23:40:54 2023	1700779254	0	1872	1872	1872
Thu Nov 23 23:40:59 2023	1700779259	0	1872	1872	1872
Thu Nov 23 23:40:59 2023	1700779259	0	1872	1872	1872
Thu Nov 23 23:40:46 2023	1700779246	0	1872	1872	1872
Thu Nov 23 23:41:18 2023	1700779278	0	1872	1872	1872
Thu Nov 23 23:40:59 2023	1700779259	0	1872	1872	1872
Thu Nov 23 23:40:33 2023	1700779233	0	1872	1872	1872
Thu Nov 23 23:40:46 2023	1700779246	0	1872	1872	1872
Thu Nov 23 23:40:46 2023	1700779246	0	1873	1873	1872
Thu Nov 23 23:40:46 2023	1700779246	0	1873	1873	1872
Thu Nov 23 23:40:54 2023	1700779254	0	1873	1873	1872
Thu Nov 23 23:40:33 2023	1700779233	0	1873	1873	1873
Thu Nov 23 23:41:18 2023	1700779278	0	1873	1873	1873
Thu Nov 23 23:40:46 2023	1700779246	0	1873	1873	1873
Thu Nov 23 23:41:18 2023	1700779278	0	1873	1873	1873
Thu Nov 23 23:40:33 2023	1700779233	0	1873	1873	1873
Thu Nov 23 23:40:54 2023	1700779254	0	1873	1873	1873
Thu Nov 23 23:40:46 2023	1700779246	0	1873	1873	1873
Thu Nov 23 23:41:18 2023	1700779278	0	1873	1873	1873
