starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 22 16:39:25 2023	1700667565	0	1808	1808	1808
Wed Nov 22 16:39:23 2023	1700667563	0	1810	1810	1810
Wed Nov 22 16:39:10 2023	1700667550	0	1823	1823	1823
Wed Nov 22 16:39:14 2023	1700667554	0	1836	1836	1836
Wed Nov 22 16:39:12 2023	1700667552	0	1839	1839	1839
Wed Nov 22 16:39:20 2023	1700667560	0	1849	1849	1848
Wed Nov 22 16:39:22 2023	1700667562	0	1856	1856	1856
Wed Nov 22 16:39:29 2023	1700667569	0	1911	1911	1911
Wed Nov 22 16:39:18 2023	1700667558	0	1938	1938	1938
Wed Nov 22 16:39:16 2023	1700667556	0	1942	1942	1942
Wed Nov 22 16:39:27 2023	1700667567	0	2160	2160	2160
Wed Nov 22 16:39:54 2023	1700667594	0	2210	2210	2210
Wed Nov 22 16:39:45 2023	1700667585	0	2214	2214	2214
Wed Nov 22 16:39:56 2023	1700667596	0	2214	2215	2214
Wed Nov 22 16:40:17 2023	1700667617	0	2223	2223	2223
Wed Nov 22 16:39:33 2023	1700667573	0	2226	2226	2226
Wed Nov 22 16:39:49 2023	1700667589	0	2229	2229	2229
Wed Nov 22 16:40:00 2023	1700667600	0	2229	2229	2229
Wed Nov 22 16:40:15 2023	1700667615	0	2233	2233	2233
Wed Nov 22 16:39:47 2023	1700667587	0	2241	2241	2241
Wed Nov 22 16:39:51 2023	1700667591	0	2247	2247	2247
Wed Nov 22 16:39:36 2023	1700667576	0	2249	2249	2249
Wed Nov 22 16:39:31 2023	1700667571	0	2249	2249	2249
Wed Nov 22 16:39:40 2023	1700667580	0	2260	2260	2260
Wed Nov 22 16:39:58 2023	1700667598	0	2277	2277	2277
Wed Nov 22 16:39:38 2023	1700667578	0	2288	2288	2288
Wed Nov 22 16:40:07 2023	1700667607	0	2303	2303	2303
Wed Nov 22 16:39:42 2023	1700667582	0	2304	2304	2303
Wed Nov 22 16:40:03 2023	1700667603	0	2346	2346	2346
Wed Nov 22 16:40:10 2023	1700667610	0	2512	2512	2512
Wed Nov 22 16:40:05 2023	1700667605	0	2596	2596	2596
Wed Nov 22 16:40:12 2023	1700667612	0	2795	2795	2795
