starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 22 16:40:20 2023	1700667620	0	2209	2209	2209
Wed Nov 22 16:40:22 2023	1700667622	0	2211	2211	2211
Wed Nov 22 16:40:22 2023	1700667622	0	4438	4438	4438
Wed Nov 22 16:40:22 2023	1700667622	0	6666	6667	6666
Wed Nov 22 16:40:22 2023	1700667622	0	8929	8929	8928
Wed Nov 22 16:40:22 2023	1700667622	0	11368	11368	11367
Wed Nov 22 16:40:22 2023	1700667622	0	13730	13730	13729
Wed Nov 22 16:40:22 2023	1700667622	0	16046	16047	16046
Wed Nov 22 16:40:56 2023	1700667656	0	17733	17733	17733
Wed Nov 22 16:40:59 2023	1700667659	0	17791	17791	17791
Wed Nov 22 16:41:03 2023	1700667663	0	17800	17800	17800
Wed Nov 22 16:41:01 2023	1700667661	0	17814	17814	17814
Wed Nov 22 16:41:08 2023	1700667668	0	17822	17823	17822
Wed Nov 22 16:41:05 2023	1700667665	0	17860	17860	17859
Wed Nov 22 16:41:10 2023	1700667670	0	17889	17889	17889
Wed Nov 22 16:40:54 2023	1700667654	0	17900	17900	17900
Wed Nov 22 16:40:52 2023	1700667652	0	17973	17973	17973
Wed Nov 22 16:41:12 2023	1700667672	0	17984	17984	17984
Wed Nov 22 16:41:14 2023	1700667674	0	18067	18067	18067
Wed Nov 22 16:40:47 2023	1700667647	0	18068	18068	18068
Wed Nov 22 16:40:50 2023	1700667650	0	18071	18071	18070
Wed Nov 22 16:40:45 2023	1700667645	0	18145	18145	18145
Wed Nov 22 16:40:43 2023	1700667643	0	18316	18316	18316
Wed Nov 22 16:40:40 2023	1700667640	0	18429	18429	18428
Wed Nov 22 16:40:22 2023	1700667622	0	18454	18454	18454
Wed Nov 22 16:40:24 2023	1700667624	0	18580	18580	18580
Wed Nov 22 16:40:36 2023	1700667636	0	18584	18584	18584
Wed Nov 22 16:40:38 2023	1700667638	0	18631	18631	18631
Wed Nov 22 16:40:33 2023	1700667633	0	18645	18645	18645
Wed Nov 22 16:40:26 2023	1700667626	0	18763	18763	18763
Wed Nov 22 16:40:31 2023	1700667631	0	18802	18802	18802
Wed Nov 22 16:40:28 2023	1700667628	0	18805	18805	18805
