starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 22 16:37:06 2023	1700667426	1	2396	2396	2396
Wed Nov 22 16:37:03 2023	1700667423	0	2487	2487	2486
Wed Nov 22 16:37:06 2023	1700667426	1	4694	4694	4694
Wed Nov 22 16:37:06 2023	1700667426	1	7001	7002	7001
Wed Nov 22 16:37:06 2023	1700667426	1	9223	9224	9223
Wed Nov 22 16:37:06 2023	1700667426	1	11626	11626	11625
Wed Nov 22 16:37:06 2023	1700667426	1	14282	14282	14281
Wed Nov 22 16:37:06 2023	1700667426	1	16510	16511	16510
Wed Nov 22 16:37:06 2023	1700667426	1	18894	18895	18894
Wed Nov 22 16:37:06 2023	1700667426	1	21306	21307	21306
Wed Nov 22 16:37:06 2023	1700667426	1	23645	23646	23645
Wed Nov 22 16:37:06 2023	1700667426	1	26008	26009	26008
Wed Nov 22 16:37:06 2023	1700667426	1	28464	28464	28463
Wed Nov 22 16:37:06 2023	1700667426	1	30729	30730	30729
Wed Nov 22 16:37:06 2023	1700667426	1	33168	33169	33168
Wed Nov 22 16:37:06 2023	1700667426	1	35560	35561	35560
Wed Nov 22 16:37:06 2023	1700667426	1	38177	38178	38177
Wed Nov 22 16:37:41 2023	1700667461	0	38192	38192	38192
Wed Nov 22 16:37:27 2023	1700667447	0	38242	38242	38242
Wed Nov 22 16:37:13 2023	1700667433	0	38243	38243	38243
Wed Nov 22 16:37:10 2023	1700667430	0	38266	38266	38266
Wed Nov 22 16:37:20 2023	1700667440	0	38272	38272	38272
Wed Nov 22 16:37:08 2023	1700667428	0	38275	38275	38275
Wed Nov 22 16:37:25 2023	1700667445	0	38276	38276	38275
Wed Nov 22 16:37:34 2023	1700667454	0	38321	38321	38321
Wed Nov 22 16:37:36 2023	1700667456	0	38328	38328	38328
Wed Nov 22 16:37:39 2023	1700667459	0	38345	38345	38345
Wed Nov 22 16:37:17 2023	1700667437	0	38403	38403	38403
Wed Nov 22 16:37:22 2023	1700667442	0	38407	38407	38406
Wed Nov 22 16:37:29 2023	1700667449	0	38412	38412	38412
Wed Nov 22 16:37:15 2023	1700667435	0	38453	38453	38453
Wed Nov 22 16:37:32 2023	1700667452	0	38476	38476	38475
