starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 22 16:41:35 2023	1700667695	1	2284	2285	2284
Wed Nov 22 16:41:32 2023	1700667692	0	2474	2474	2474
Wed Nov 22 16:41:35 2023	1700667695	1	4633	4633	4633
Wed Nov 22 16:41:35 2023	1700667695	1	6858	6859	6858
Wed Nov 22 16:41:35 2023	1700667695	1	9104	9105	9104
Wed Nov 22 16:41:35 2023	1700667695	1	11372	11372	11371
Wed Nov 22 16:41:35 2023	1700667695	1	13823	13823	13822
Wed Nov 22 16:41:35 2023	1700667695	1	16066	16067	16066
Wed Nov 22 16:41:35 2023	1700667695	1	18325	18326	18325
Wed Nov 22 16:41:35 2023	1700667695	1	20610	20611	20610
Wed Nov 22 16:41:35 2023	1700667695	1	22891	22892	22891
Wed Nov 22 16:41:35 2023	1700667695	1	25160	25161	25160
Wed Nov 22 16:41:35 2023	1700667695	1	27351	27352	27351
Wed Nov 22 16:41:35 2023	1700667695	1	29595	29596	29595
Wed Nov 22 16:41:35 2023	1700667695	1	31947	31948	31947
Wed Nov 22 16:41:35 2023	1700667695	1	34264	34264	34264
Wed Nov 22 16:42:09 2023	1700667729	0	35979	35979	35978
Wed Nov 22 16:42:07 2023	1700667727	0	36065	36065	36064
Wed Nov 22 16:42:00 2023	1700667720	0	36095	36095	36095
Wed Nov 22 16:41:58 2023	1700667718	0	36150	36150	36150
Wed Nov 22 16:41:49 2023	1700667709	0	36170	36170	36170
Wed Nov 22 16:42:02 2023	1700667722	0	36179	36179	36179
Wed Nov 22 16:42:04 2023	1700667724	0	36193	36193	36193
Wed Nov 22 16:41:55 2023	1700667715	0	36211	36211	36211
Wed Nov 22 16:41:51 2023	1700667711	0	36285	36285	36285
Wed Nov 22 16:41:53 2023	1700667713	0	36306	36307	36306
Wed Nov 22 16:41:46 2023	1700667706	0	36368	36368	36367
Wed Nov 22 16:41:44 2023	1700667704	0	36404	36404	36404
Wed Nov 22 16:41:42 2023	1700667702	0	36425	36426	36425
Wed Nov 22 16:41:39 2023	1700667699	0	36447	36447	36447
Wed Nov 22 16:41:37 2023	1700667697	0	36550	36550	36550
Wed Nov 22 16:41:35 2023	1700667695	1	36563	36563	36563
