starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:15:52 2023	1700738152	0	201	201	201
Thu Nov 23 12:15:53 2023	1700738153	0	201	201	201
Thu Nov 23 12:15:53 2023	1700738153	0	202	202	202
Thu Nov 23 12:15:58 2023	1700738158	0	203	203	203
Thu Nov 23 12:15:54 2023	1700738154	0	203	203	203
Thu Nov 23 12:15:53 2023	1700738153	0	203	203	203
Thu Nov 23 12:15:54 2023	1700738154	0	203	203	203
Thu Nov 23 12:15:56 2023	1700738156	0	203	203	203
Thu Nov 23 12:15:54 2023	1700738154	0	203	203	203
Thu Nov 23 12:15:54 2023	1700738154	0	204	204	203
Thu Nov 23 12:15:55 2023	1700738155	0	204	204	204
Thu Nov 23 12:15:52 2023	1700738152	0	204	204	204
Thu Nov 23 12:15:57 2023	1700738157	0	204	204	204
Thu Nov 23 12:15:55 2023	1700738155	0	204	204	204
Thu Nov 23 12:16:01 2023	1700738161	0	204	204	204
Thu Nov 23 12:15:54 2023	1700738154	0	205	205	204
Thu Nov 23 12:15:55 2023	1700738155	0	205	205	205
Thu Nov 23 12:15:56 2023	1700738156	0	205	205	205
Thu Nov 23 12:15:59 2023	1700738159	0	205	205	205
Thu Nov 23 12:15:53 2023	1700738153	0	205	205	205
Thu Nov 23 12:15:55 2023	1700738155	0	205	205	205
Thu Nov 23 12:15:56 2023	1700738156	0	205	205	205
Thu Nov 23 12:15:53 2023	1700738153	0	205	205	205
Thu Nov 23 12:15:58 2023	1700738158	0	205	205	205
Thu Nov 23 12:15:52 2023	1700738152	0	205	205	205
Thu Nov 23 12:15:59 2023	1700738159	0	205	205	205
Thu Nov 23 12:15:57 2023	1700738157	0	205	205	205
Thu Nov 23 12:16:04 2023	1700738164	0	206	206	206
Thu Nov 23 12:16:01 2023	1700738161	0	206	206	206
Thu Nov 23 12:15:58 2023	1700738158	0	206	206	206
Thu Nov 23 12:16:04 2023	1700738164	0	206	206	206
Thu Nov 23 12:16:00 2023	1700738160	0	206	206	206
Thu Nov 23 12:15:56 2023	1700738156	0	206	206	206
Thu Nov 23 12:16:00 2023	1700738160	0	206	206	206
Thu Nov 23 12:15:57 2023	1700738157	0	206	206	206
Thu Nov 23 12:16:01 2023	1700738161	0	206	206	206
Thu Nov 23 12:16:04 2023	1700738164	0	206	207	206
Thu Nov 23 12:16:01 2023	1700738161	0	207	207	206
Thu Nov 23 12:15:59 2023	1700738159	0	207	207	207
Thu Nov 23 12:16:07 2023	1700738167	0	207	207	207
Thu Nov 23 12:15:55 2023	1700738155	0	207	207	207
Thu Nov 23 12:16:02 2023	1700738162	0	207	207	207
Thu Nov 23 12:15:57 2023	1700738157	0	207	207	207
Thu Nov 23 12:16:10 2023	1700738170	0	207	207	207
Thu Nov 23 12:15:58 2023	1700738158	0	207	207	207
Thu Nov 23 12:15:58 2023	1700738158	0	207	207	207
Thu Nov 23 12:15:59 2023	1700738159	0	207	207	207
Thu Nov 23 12:16:00 2023	1700738160	0	208	208	207
Thu Nov 23 12:16:07 2023	1700738167	0	208	208	207
Thu Nov 23 12:16:07 2023	1700738167	0	208	208	207
Thu Nov 23 12:16:07 2023	1700738167	0	208	208	208
Thu Nov 23 12:15:56 2023	1700738156	0	208	208	208
Thu Nov 23 12:16:02 2023	1700738162	0	208	208	208
Thu Nov 23 12:15:57 2023	1700738157	0	208	208	208
Thu Nov 23 12:16:08 2023	1700738168	0	208	208	208
Thu Nov 23 12:16:03 2023	1700738163	0	208	208	208
Thu Nov 23 12:16:03 2023	1700738163	0	208	208	208
Thu Nov 23 12:16:05 2023	1700738165	0	208	208	208
Thu Nov 23 12:16:05 2023	1700738165	0	208	208	208
Thu Nov 23 12:16:00 2023	1700738160	0	208	208	208
Thu Nov 23 12:16:00 2023	1700738160	0	208	208	208
Thu Nov 23 12:16:09 2023	1700738169	0	209	209	208
Thu Nov 23 12:16:12 2023	1700738172	0	209	209	208
Thu Nov 23 12:16:08 2023	1700738168	0	209	209	209
Thu Nov 23 12:16:11 2023	1700738171	0	209	209	209
Thu Nov 23 12:16:13 2023	1700738173	0	209	209	209
Thu Nov 23 12:16:06 2023	1700738166	0	209	209	209
Thu Nov 23 12:16:13 2023	1700738173	0	209	209	209
Thu Nov 23 12:16:07 2023	1700738167	0	209	209	209
Thu Nov 23 12:16:17 2023	1700738177	0	209	209	209
Thu Nov 23 12:16:02 2023	1700738162	0	209	209	209
Thu Nov 23 12:16:11 2023	1700738171	0	209	209	209
Thu Nov 23 12:16:14 2023	1700738174	0	209	209	209
Thu Nov 23 12:16:19 2023	1700738179	0	209	209	209
Thu Nov 23 12:16:09 2023	1700738169	0	209	209	209
Thu Nov 23 12:16:16 2023	1700738176	0	209	209	209
Thu Nov 23 12:16:04 2023	1700738164	0	209	209	209
Thu Nov 23 12:16:09 2023	1700738169	0	209	209	209
Thu Nov 23 12:16:06 2023	1700738166	0	210	210	209
Thu Nov 23 12:16:13 2023	1700738173	0	210	210	210
Thu Nov 23 12:16:11 2023	1700738171	0	210	210	210
Thu Nov 23 12:16:13 2023	1700738173	0	210	210	210
Thu Nov 23 12:16:12 2023	1700738172	0	210	210	210
Thu Nov 23 12:16:17 2023	1700738177	0	210	210	210
Thu Nov 23 12:16:05 2023	1700738165	0	210	210	210
Thu Nov 23 12:16:04 2023	1700738164	0	210	210	210
Thu Nov 23 12:16:12 2023	1700738172	0	210	210	210
Thu Nov 23 12:16:01 2023	1700738161	0	210	210	210
Thu Nov 23 12:16:19 2023	1700738179	0	210	210	210
Thu Nov 23 12:16:11 2023	1700738171	0	210	210	210
Thu Nov 23 12:16:02 2023	1700738162	0	210	210	210
Thu Nov 23 12:16:13 2023	1700738173	0	210	210	210
Thu Nov 23 12:16:14 2023	1700738174	0	210	210	210
Thu Nov 23 12:16:10 2023	1700738170	0	210	210	210
Thu Nov 23 12:16:14 2023	1700738174	0	211	211	210
Thu Nov 23 12:16:18 2023	1700738178	0	211	211	211
Thu Nov 23 12:16:19 2023	1700738179	0	211	211	211
Thu Nov 23 12:16:10 2023	1700738170	0	211	211	211
Thu Nov 23 12:16:16 2023	1700738176	0	211	211	211
Thu Nov 23 12:16:09 2023	1700738169	0	211	211	211
Thu Nov 23 12:16:16 2023	1700738176	0	211	211	211
Thu Nov 23 12:16:19 2023	1700738179	0	211	211	211
Thu Nov 23 12:16:25 2023	1700738185	0	211	211	211
Thu Nov 23 12:16:16 2023	1700738176	0	211	211	211
Thu Nov 23 12:16:15 2023	1700738175	0	211	211	211
Thu Nov 23 12:16:20 2023	1700738180	0	211	211	211
Thu Nov 23 12:16:08 2023	1700738168	0	211	211	211
Thu Nov 23 12:16:20 2023	1700738180	0	211	212	211
Thu Nov 23 12:16:17 2023	1700738177	0	211	212	211
