starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:06:26 2023	1700737586	0	249	249	248
Thu Nov 23 12:06:26 2023	1700737586	1	312	313	312
Thu Nov 23 12:06:26 2023	1700737586	1	560	561	560
Thu Nov 23 12:06:26 2023	1700737586	1	801	802	801
Thu Nov 23 12:06:26 2023	1700737586	1	1050	1050	1049
Thu Nov 23 12:06:26 2023	1700737586	1	1292	1293	1292
Thu Nov 23 12:06:26 2023	1700737586	1	1539	1540	1539
Thu Nov 23 12:06:26 2023	1700737586	1	1775	1776	1775
Thu Nov 23 12:06:26 2023	1700737586	1	2019	2020	2019
Thu Nov 23 12:06:26 2023	1700737586	1	2261	2262	2261
Thu Nov 23 12:06:26 2023	1700737586	1	2511	2512	2511
Thu Nov 23 12:06:26 2023	1700737586	1	2753	2753	2753
Thu Nov 23 12:06:26 2023	1700737586	1	3000	3001	3000
Thu Nov 23 12:06:26 2023	1700737586	1	3243	3244	3243
Thu Nov 23 12:06:26 2023	1700737586	1	3489	3490	3489
Thu Nov 23 12:06:26 2023	1700737586	1	3734	3734	3734
Thu Nov 23 12:06:26 2023	1700737586	1	3981	3981	3980
Thu Nov 23 12:06:26 2023	1700737586	1	4224	4225	4224
Thu Nov 23 12:06:26 2023	1700737586	1	4475	4476	4475
Thu Nov 23 12:06:26 2023	1700737586	1	4719	4720	4719
Thu Nov 23 12:06:26 2023	1700737586	1	4966	4967	4966
Thu Nov 23 12:06:26 2023	1700737586	1	5208	5209	5208
Thu Nov 23 12:06:26 2023	1700737586	1	5456	5456	5456
Thu Nov 23 12:06:26 2023	1700737586	1	5698	5699	5698
Thu Nov 23 12:06:26 2023	1700737586	1	5947	5947	5947
Thu Nov 23 12:06:26 2023	1700737586	1	6189	6189	6189
Thu Nov 23 12:06:26 2023	1700737586	1	6436	6437	6436
Thu Nov 23 12:06:26 2023	1700737586	1	6678	6679	6678
Thu Nov 23 12:06:26 2023	1700737586	1	6926	6927	6926
Thu Nov 23 12:06:26 2023	1700737586	1	7167	7168	7167
Thu Nov 23 12:06:26 2023	1700737586	1	7409	7409	7409
Thu Nov 23 12:06:30 2023	1700737590	0	7591	7591	7591
Thu Nov 23 12:07:01 2023	1700737621	0	7624	7624	7624
Thu Nov 23 12:07:16 2023	1700737636	0	7632	7632	7632
Thu Nov 23 12:06:26 2023	1700737586	1	7654	7655	7654
Thu Nov 23 12:06:48 2023	1700737608	0	7819	7819	7819
Thu Nov 23 12:06:49 2023	1700737609	0	7820	7820	7819
Thu Nov 23 12:06:27 2023	1700737587	0	7820	7820	7820
Thu Nov 23 12:06:48 2023	1700737608	0	7821	7821	7821
Thu Nov 23 12:06:27 2023	1700737587	0	7821	7821	7821
Thu Nov 23 12:06:43 2023	1700737603	0	7824	7824	7824
Thu Nov 23 12:06:47 2023	1700737607	0	7824	7824	7824
Thu Nov 23 12:06:57 2023	1700737617	0	7824	7824	7824
Thu Nov 23 12:06:46 2023	1700737606	0	7825	7825	7825
Thu Nov 23 12:06:46 2023	1700737606	0	7825	7825	7825
Thu Nov 23 12:06:28 2023	1700737588	0	7825	7825	7825
Thu Nov 23 12:06:47 2023	1700737607	0	7825	7825	7825
Thu Nov 23 12:06:56 2023	1700737616	0	7826	7826	7825
Thu Nov 23 12:06:32 2023	1700737592	0	7826	7826	7826
Thu Nov 23 12:06:33 2023	1700737593	0	7826	7826	7826
Thu Nov 23 12:06:33 2023	1700737593	0	7827	7827	7827
Thu Nov 23 12:06:56 2023	1700737616	0	7827	7827	7827
Thu Nov 23 12:06:27 2023	1700737587	0	7827	7827	7827
Thu Nov 23 12:06:36 2023	1700737596	0	7827	7827	7827
Thu Nov 23 12:06:48 2023	1700737608	0	7828	7828	7827
Thu Nov 23 12:06:57 2023	1700737617	0	7828	7828	7828
Thu Nov 23 12:06:49 2023	1700737609	0	7828	7828	7828
Thu Nov 23 12:06:28 2023	1700737588	0	7828	7828	7828
Thu Nov 23 12:06:55 2023	1700737615	0	7828	7828	7828
Thu Nov 23 12:06:58 2023	1700737618	0	7828	7828	7828
Thu Nov 23 12:06:58 2023	1700737618	0	7829	7829	7829
Thu Nov 23 12:06:46 2023	1700737606	0	7829	7829	7829
Thu Nov 23 12:06:59 2023	1700737619	0	7829	7829	7829
Thu Nov 23 12:06:31 2023	1700737591	0	7830	7830	7829
Thu Nov 23 12:06:27 2023	1700737587	0	7830	7830	7830
