starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:03:26 2023	1700737406	0	203	203	203
Thu Nov 23 12:03:22 2023	1700737402	0	203	203	203
Thu Nov 23 12:03:23 2023	1700737403	0	203	203	203
Thu Nov 23 12:03:23 2023	1700737403	0	204	204	203
Thu Nov 23 12:03:23 2023	1700737403	0	204	204	204
Thu Nov 23 12:03:27 2023	1700737407	0	205	205	205
Thu Nov 23 12:03:26 2023	1700737406	0	206	206	205
Thu Nov 23 12:03:25 2023	1700737405	0	206	206	206
Thu Nov 23 12:03:23 2023	1700737403	0	206	206	206
Thu Nov 23 12:03:23 2023	1700737403	0	206	206	206
Thu Nov 23 12:03:22 2023	1700737402	0	206	206	206
Thu Nov 23 12:03:24 2023	1700737404	0	206	206	206
Thu Nov 23 12:03:24 2023	1700737404	0	207	207	206
Thu Nov 23 12:03:25 2023	1700737405	0	207	207	206
Thu Nov 23 12:03:26 2023	1700737406	0	207	207	207
Thu Nov 23 12:03:28 2023	1700737408	0	208	208	208
Thu Nov 23 12:03:26 2023	1700737406	0	208	209	208
Thu Nov 23 12:03:33 2023	1700737413	0	209	209	208
Thu Nov 23 12:03:25 2023	1700737405	0	209	209	209
Thu Nov 23 12:03:33 2023	1700737413	0	209	209	209
Thu Nov 23 12:03:27 2023	1700737407	0	209	209	209
Thu Nov 23 12:03:32 2023	1700737412	0	209	209	209
Thu Nov 23 12:03:31 2023	1700737411	0	209	209	209
Thu Nov 23 12:03:31 2023	1700737411	0	209	210	209
Thu Nov 23 12:03:25 2023	1700737405	0	210	210	210
Thu Nov 23 12:03:27 2023	1700737407	0	210	210	210
Thu Nov 23 12:03:25 2023	1700737405	0	210	210	210
Thu Nov 23 12:03:33 2023	1700737413	0	210	210	210
Thu Nov 23 12:03:34 2023	1700737414	0	210	210	210
Thu Nov 23 12:03:29 2023	1700737409	0	210	210	210
Thu Nov 23 12:03:28 2023	1700737408	0	211	211	210
Thu Nov 23 12:03:32 2023	1700737412	0	211	211	211
Thu Nov 23 12:03:28 2023	1700737408	0	211	211	211
Thu Nov 23 12:03:34 2023	1700737414	0	212	212	212
Thu Nov 23 12:03:33 2023	1700737413	0	212	212	212
Thu Nov 23 12:03:29 2023	1700737409	0	212	212	212
Thu Nov 23 12:03:27 2023	1700737407	0	212	212	212
Thu Nov 23 12:03:32 2023	1700737412	0	213	213	212
Thu Nov 23 12:03:26 2023	1700737406	0	213	213	213
Thu Nov 23 12:03:28 2023	1700737408	0	213	213	213
Thu Nov 23 12:03:24 2023	1700737404	0	213	213	213
Thu Nov 23 12:03:35 2023	1700737415	0	214	214	214
Thu Nov 23 12:03:36 2023	1700737416	0	214	214	214
Thu Nov 23 12:03:27 2023	1700737407	0	214	214	214
Thu Nov 23 12:03:34 2023	1700737414	0	214	214	214
Thu Nov 23 12:03:36 2023	1700737416	0	215	215	214
Thu Nov 23 12:03:37 2023	1700737417	0	215	215	215
Thu Nov 23 12:03:34 2023	1700737414	0	215	215	215
Thu Nov 23 12:03:29 2023	1700737409	0	215	215	215
Thu Nov 23 12:03:35 2023	1700737415	0	215	216	215
Thu Nov 23 12:03:31 2023	1700737411	0	216	216	216
Thu Nov 23 12:03:36 2023	1700737416	0	216	216	216
Thu Nov 23 12:03:35 2023	1700737415	0	216	216	216
Thu Nov 23 12:03:35 2023	1700737415	0	216	216	216
Thu Nov 23 12:03:30 2023	1700737410	0	218	218	218
Thu Nov 23 12:03:35 2023	1700737415	0	219	219	219
Thu Nov 23 12:03:28 2023	1700737408	0	220	220	220
Thu Nov 23 12:03:40 2023	1700737420	0	220	220	220
Thu Nov 23 12:03:31 2023	1700737411	0	220	220	220
Thu Nov 23 12:03:30 2023	1700737410	0	220	221	220
Thu Nov 23 12:03:24 2023	1700737404	0	221	221	221
Thu Nov 23 12:03:39 2023	1700737419	0	221	221	221
Thu Nov 23 12:03:38 2023	1700737418	0	222	222	222
Thu Nov 23 12:03:37 2023	1700737417	0	222	222	222
Thu Nov 23 12:03:45 2023	1700737425	0	223	223	223
Thu Nov 23 12:03:42 2023	1700737422	0	223	223	223
Thu Nov 23 12:03:43 2023	1700737423	0	223	223	223
Thu Nov 23 12:03:39 2023	1700737419	0	223	223	223
Thu Nov 23 12:03:30 2023	1700737410	0	224	224	224
Thu Nov 23 12:03:43 2023	1700737423	0	224	224	224
Thu Nov 23 12:03:44 2023	1700737424	0	224	224	224
Thu Nov 23 12:03:40 2023	1700737420	0	224	224	224
Thu Nov 23 12:03:40 2023	1700737420	0	224	224	224
Thu Nov 23 12:03:39 2023	1700737419	0	224	224	224
Thu Nov 23 12:03:56 2023	1700737436	0	225	225	225
Thu Nov 23 12:03:43 2023	1700737423	0	225	225	225
Thu Nov 23 12:03:29 2023	1700737409	0	225	225	225
Thu Nov 23 12:03:40 2023	1700737420	0	225	225	225
Thu Nov 23 12:03:34 2023	1700737414	0	226	226	226
Thu Nov 23 12:03:39 2023	1700737419	0	226	226	226
Thu Nov 23 12:03:42 2023	1700737422	0	226	226	226
Thu Nov 23 12:03:48 2023	1700737428	0	226	226	226
Thu Nov 23 12:03:55 2023	1700737435	0	226	227	226
Thu Nov 23 12:03:37 2023	1700737417	0	227	227	227
Thu Nov 23 12:03:42 2023	1700737422	0	227	227	227
Thu Nov 23 12:03:50 2023	1700737430	0	227	227	227
Thu Nov 23 12:03:46 2023	1700737426	0	227	227	227
Thu Nov 23 12:03:41 2023	1700737421	0	227	227	227
Thu Nov 23 12:03:45 2023	1700737425	0	228	228	227
Thu Nov 23 12:03:46 2023	1700737426	0	228	228	228
Thu Nov 23 12:03:40 2023	1700737420	0	228	228	228
Thu Nov 23 12:03:45 2023	1700737425	0	228	228	228
Thu Nov 23 12:03:30 2023	1700737410	0	228	228	228
Thu Nov 23 12:03:46 2023	1700737426	0	228	228	228
Thu Nov 23 12:03:48 2023	1700737428	0	229	229	228
Thu Nov 23 12:03:36 2023	1700737416	0	229	229	229
Thu Nov 23 12:03:42 2023	1700737422	0	229	229	229
Thu Nov 23 12:03:45 2023	1700737425	0	229	229	229
Thu Nov 23 12:03:41 2023	1700737421	0	229	229	229
Thu Nov 23 12:03:47 2023	1700737427	0	229	229	229
Thu Nov 23 12:03:47 2023	1700737427	0	230	230	230
Thu Nov 23 12:03:58 2023	1700737438	0	230	230	230
Thu Nov 23 12:03:43 2023	1700737423	0	230	230	230
Thu Nov 23 12:03:46 2023	1700737426	0	230	230	230
Thu Nov 23 12:03:47 2023	1700737427	0	230	230	230
Thu Nov 23 12:03:55 2023	1700737435	0	230	230	230
Thu Nov 23 12:03:49 2023	1700737429	0	230	230	230
Thu Nov 23 12:03:54 2023	1700737434	0	230	231	230
Thu Nov 23 12:03:58 2023	1700737438	0	231	231	230
Thu Nov 23 12:04:01 2023	1700737441	0	231	231	230
Thu Nov 23 12:03:47 2023	1700737427	0	231	231	230
Thu Nov 23 12:03:44 2023	1700737424	0	231	231	231
Thu Nov 23 12:03:57 2023	1700737437	0	231	231	231
Thu Nov 23 12:04:20 2023	1700737460	0	231	231	231
Thu Nov 23 12:03:53 2023	1700737433	0	231	231	231
Thu Nov 23 12:03:48 2023	1700737428	0	231	231	231
Thu Nov 23 12:03:49 2023	1700737429	0	231	231	231
Thu Nov 23 12:03:59 2023	1700737439	0	231	231	231
Thu Nov 23 12:03:48 2023	1700737428	0	231	231	231
Thu Nov 23 12:03:44 2023	1700737424	0	231	231	231
Thu Nov 23 12:03:58 2023	1700737438	0	231	231	231
Thu Nov 23 12:03:46 2023	1700737426	0	231	231	231
Thu Nov 23 12:04:10 2023	1700737450	0	231	231	231
Thu Nov 23 12:03:53 2023	1700737433	0	231	231	231
Thu Nov 23 12:03:44 2023	1700737424	0	231	231	231
Thu Nov 23 12:03:49 2023	1700737429	0	231	231	231
Thu Nov 23 12:03:50 2023	1700737430	0	231	231	231
Thu Nov 23 12:03:54 2023	1700737434	0	231	231	231
Thu Nov 23 12:03:41 2023	1700737421	0	231	231	231
Thu Nov 23 12:04:02 2023	1700737442	0	232	232	231
Thu Nov 23 12:03:58 2023	1700737438	0	232	232	232
Thu Nov 23 12:03:58 2023	1700737438	0	232	232	232
Thu Nov 23 12:03:52 2023	1700737432	0	232	232	232
Thu Nov 23 12:03:48 2023	1700737428	0	232	232	232
Thu Nov 23 12:04:12 2023	1700737452	0	233	233	233
Thu Nov 23 12:04:02 2023	1700737442	0	233	233	233
Thu Nov 23 12:04:04 2023	1700737444	0	234	234	234
Thu Nov 23 12:03:51 2023	1700737431	0	234	234	234
Thu Nov 23 12:03:49 2023	1700737429	0	234	234	234
Thu Nov 23 12:03:43 2023	1700737423	0	234	234	234
Thu Nov 23 12:04:04 2023	1700737444	0	234	234	234
Thu Nov 23 12:04:11 2023	1700737451	0	235	235	234
Thu Nov 23 12:03:54 2023	1700737434	0	235	235	235
Thu Nov 23 12:04:07 2023	1700737447	0	235	235	235
Thu Nov 23 12:03:30 2023	1700737410	0	235	235	235
Thu Nov 23 12:03:41 2023	1700737421	0	235	235	235
Thu Nov 23 12:03:37 2023	1700737417	0	235	235	235
Thu Nov 23 12:04:08 2023	1700737448	0	235	235	235
Thu Nov 23 12:04:02 2023	1700737442	0	236	236	235
Thu Nov 23 12:04:19 2023	1700737459	0	236	236	235
Thu Nov 23 12:04:13 2023	1700737453	0	236	236	235
Thu Nov 23 12:04:15 2023	1700737455	0	236	236	236
Thu Nov 23 12:03:52 2023	1700737432	0	236	236	236
Thu Nov 23 12:03:52 2023	1700737432	0	236	236	236
Thu Nov 23 12:04:10 2023	1700737450	0	236	236	236
Thu Nov 23 12:04:03 2023	1700737443	0	236	236	236
Thu Nov 23 12:04:04 2023	1700737444	0	236	236	236
Thu Nov 23 12:04:04 2023	1700737444	0	236	236	236
Thu Nov 23 12:04:11 2023	1700737451	0	236	236	236
Thu Nov 23 12:04:18 2023	1700737458	0	236	236	236
Thu Nov 23 12:04:07 2023	1700737447	0	236	236	236
Thu Nov 23 12:04:00 2023	1700737440	0	237	237	236
Thu Nov 23 12:03:57 2023	1700737437	0	237	237	236
Thu Nov 23 12:04:16 2023	1700737456	0	237	237	236
Thu Nov 23 12:04:16 2023	1700737456	0	237	237	237
Thu Nov 23 12:04:17 2023	1700737457	0	237	237	237
Thu Nov 23 12:04:08 2023	1700737448	0	237	237	237
Thu Nov 23 12:04:19 2023	1700737459	0	237	237	237
Thu Nov 23 12:04:13 2023	1700737453	0	237	237	237
Thu Nov 23 12:03:53 2023	1700737433	0	237	237	237
Thu Nov 23 12:04:10 2023	1700737450	0	237	238	237
Thu Nov 23 12:03:54 2023	1700737434	0	238	238	238
Thu Nov 23 12:03:32 2023	1700737412	0	238	238	238
Thu Nov 23 12:04:01 2023	1700737441	0	238	238	238
Thu Nov 23 12:04:20 2023	1700737460	0	238	238	238
Thu Nov 23 12:04:00 2023	1700737440	0	238	238	238
Thu Nov 23 12:04:08 2023	1700737448	0	238	238	238
Thu Nov 23 12:04:02 2023	1700737442	0	239	239	239
Thu Nov 23 12:04:21 2023	1700737461	0	239	239	239
Thu Nov 23 12:04:19 2023	1700737459	0	239	239	239
Thu Nov 23 12:04:00 2023	1700737440	0	239	239	239
Thu Nov 23 12:04:10 2023	1700737450	0	239	239	239
Thu Nov 23 12:04:19 2023	1700737459	0	239	239	239
Thu Nov 23 12:04:21 2023	1700737461	0	239	239	239
Thu Nov 23 12:04:06 2023	1700737446	0	239	239	239
Thu Nov 23 12:04:17 2023	1700737457	0	239	239	239
Thu Nov 23 12:04:15 2023	1700737455	0	239	239	239
Thu Nov 23 12:04:16 2023	1700737456	0	239	240	239
Thu Nov 23 12:04:01 2023	1700737441	0	240	240	239
Thu Nov 23 12:04:14 2023	1700737454	0	240	240	240
Thu Nov 23 12:04:11 2023	1700737451	0	240	240	240
Thu Nov 23 12:04:14 2023	1700737454	0	240	240	240
Thu Nov 23 12:04:16 2023	1700737456	0	240	240	240
Thu Nov 23 12:04:11 2023	1700737451	0	240	240	240
Thu Nov 23 12:03:51 2023	1700737431	0	240	240	240
Thu Nov 23 12:04:13 2023	1700737453	0	240	240	240
Thu Nov 23 12:04:07 2023	1700737447	0	241	241	240
Thu Nov 23 12:04:21 2023	1700737461	0	241	241	241
Thu Nov 23 12:04:15 2023	1700737455	0	241	241	241
Thu Nov 23 12:04:08 2023	1700737448	0	241	241	241
Thu Nov 23 12:04:09 2023	1700737449	0	241	241	241
Thu Nov 23 12:04:18 2023	1700737458	0	241	241	241
Thu Nov 23 12:03:57 2023	1700737437	0	241	241	241
Thu Nov 23 12:04:12 2023	1700737452	0	241	241	241
Thu Nov 23 12:04:09 2023	1700737449	0	241	241	241
Thu Nov 23 12:04:06 2023	1700737446	0	241	242	241
Thu Nov 23 12:04:05 2023	1700737445	0	242	242	242
Thu Nov 23 12:04:21 2023	1700737461	0	242	242	242
Thu Nov 23 12:04:18 2023	1700737458	0	242	242	242
Thu Nov 23 12:04:03 2023	1700737443	0	242	242	242
Thu Nov 23 12:04:01 2023	1700737441	0	243	243	243
Thu Nov 23 12:03:56 2023	1700737436	0	243	243	243
Thu Nov 23 12:04:20 2023	1700737460	0	244	244	243
Thu Nov 23 12:04:01 2023	1700737441	0	245	245	244
Thu Nov 23 12:03:57 2023	1700737437	0	245	245	245
Thu Nov 23 12:04:13 2023	1700737453	0	245	245	245
Thu Nov 23 12:04:17 2023	1700737457	0	245	245	245
Thu Nov 23 12:03:37 2023	1700737417	0	245	245	245
Thu Nov 23 12:04:05 2023	1700737445	0	245	245	245
