starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:04:21 2023	1700737461	0	238	239	238
Thu Nov 23 12:04:22 2023	1700737462	0	242	242	242
Thu Nov 23 12:04:22 2023	1700737462	0	484	484	484
Thu Nov 23 12:04:22 2023	1700737462	0	723	724	723
Thu Nov 23 12:04:22 2023	1700737462	0	966	966	966
Thu Nov 23 12:04:22 2023	1700737462	0	1206	1206	1205
Thu Nov 23 12:04:22 2023	1700737462	0	1449	1449	1449
Thu Nov 23 12:05:19 2023	1700737519	0	1672	1672	1672
Thu Nov 23 12:05:09 2023	1700737509	0	1676	1676	1676
Thu Nov 23 12:04:53 2023	1700737493	0	1678	1678	1678
Thu Nov 23 12:04:34 2023	1700737474	0	1679	1679	1679
Thu Nov 23 12:04:46 2023	1700737486	0	1680	1680	1680
Thu Nov 23 12:04:24 2023	1700737464	0	1681	1681	1681
Thu Nov 23 12:04:54 2023	1700737494	0	1684	1684	1684
Thu Nov 23 12:04:22 2023	1700737462	0	1688	1688	1688
Thu Nov 23 12:05:02 2023	1700737502	0	1689	1689	1689
Thu Nov 23 12:04:28 2023	1700737468	0	1695	1695	1695
Thu Nov 23 12:04:27 2023	1700737467	0	1700	1700	1700
Thu Nov 23 12:04:51 2023	1700737491	0	1700	1700	1700
Thu Nov 23 12:04:43 2023	1700737483	0	1701	1701	1700
Thu Nov 23 12:05:07 2023	1700737507	0	1702	1702	1702
Thu Nov 23 12:05:12 2023	1700737512	0	1703	1703	1702
Thu Nov 23 12:04:47 2023	1700737487	0	1704	1704	1704
Thu Nov 23 12:04:50 2023	1700737490	0	1705	1705	1704
Thu Nov 23 12:05:13 2023	1700737513	0	1711	1711	1711
Thu Nov 23 12:05:18 2023	1700737518	0	1712	1712	1712
Thu Nov 23 12:05:16 2023	1700737516	0	1714	1714	1714
Thu Nov 23 12:05:00 2023	1700737500	0	1719	1719	1719
Thu Nov 23 12:04:25 2023	1700737465	0	1734	1734	1734
Thu Nov 23 12:05:19 2023	1700737519	0	1903	1903	1903
Thu Nov 23 12:04:34 2023	1700737474	0	1910	1910	1910
Thu Nov 23 12:04:23 2023	1700737463	0	1910	1910	1910
Thu Nov 23 12:04:33 2023	1700737473	0	1911	1911	1911
Thu Nov 23 12:04:33 2023	1700737473	0	1911	1911	1911
Thu Nov 23 12:04:32 2023	1700737472	0	1912	1912	1912
Thu Nov 23 12:05:20 2023	1700737520	0	1913	1913	1913
