starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:07:41 2023	1700737661	0	15759	15759	15759
Thu Nov 23 12:07:29 2023	1700737649	2	15759	15761	15759
Thu Nov 23 12:07:30 2023	1700737650	0	15762	15762	15762
Thu Nov 23 12:07:45 2023	1700737665	0	15762	15762	15762
Thu Nov 23 12:07:31 2023	1700737651	0	15762	15762	15762
Thu Nov 23 12:07:42 2023	1700737662	0	15762	15762	15762
Thu Nov 23 12:07:30 2023	1700737650	0	15762	15763	15762
Thu Nov 23 12:07:44 2023	1700737664	0	15763	15763	15763
Thu Nov 23 12:07:44 2023	1700737664	0	15764	15764	15764
Thu Nov 23 12:07:46 2023	1700737666	0	15764	15764	15764
Thu Nov 23 12:07:41 2023	1700737661	0	15765	15765	15765
Thu Nov 23 12:07:46 2023	1700737666	0	15766	15766	15765
Thu Nov 23 12:07:59 2023	1700737679	0	15766	15766	15765
Thu Nov 23 12:07:43 2023	1700737663	0	15766	15766	15766
Thu Nov 23 12:07:47 2023	1700737667	0	15767	15767	15767
Thu Nov 23 12:07:58 2023	1700737678	0	15768	15768	15767
Thu Nov 23 12:07:42 2023	1700737662	0	15768	15768	15768
Thu Nov 23 12:07:47 2023	1700737667	0	15769	15769	15769
Thu Nov 23 12:07:45 2023	1700737665	0	15769	15769	15769
Thu Nov 23 12:07:53 2023	1700737673	0	15770	15770	15770
Thu Nov 23 12:07:43 2023	1700737663	0	15770	15770	15770
Thu Nov 23 12:08:16 2023	1700737696	0	15770	15770	15770
Thu Nov 23 12:07:42 2023	1700737662	0	15771	15771	15771
Thu Nov 23 12:07:43 2023	1700737663	0	15771	15771	15771
Thu Nov 23 12:07:58 2023	1700737678	0	15772	15772	15772
Thu Nov 23 12:07:53 2023	1700737673	0	15772	15772	15772
Thu Nov 23 12:07:54 2023	1700737674	0	15772	15772	15772
Thu Nov 23 12:07:46 2023	1700737666	0	15772	15772	15772
Thu Nov 23 12:07:46 2023	1700737666	0	15772	15772	15772
Thu Nov 23 12:07:59 2023	1700737679	0	15773	15773	15772
Thu Nov 23 12:07:59 2023	1700737679	0	15774	15774	15774
Thu Nov 23 12:07:58 2023	1700737678	0	15774	15774	15774
Thu Nov 23 12:07:47 2023	1700737667	0	15774	15774	15774
Thu Nov 23 12:07:57 2023	1700737677	0	15774	15774	15774
Thu Nov 23 12:07:57 2023	1700737677	0	15774	15774	15774
Thu Nov 23 12:07:48 2023	1700737668	0	15775	15775	15775
Thu Nov 23 12:07:55 2023	1700737675	0	15775	15775	15775
Thu Nov 23 12:07:56 2023	1700737676	0	15775	15775	15775
Thu Nov 23 12:07:43 2023	1700737663	0	15775	15775	15775
Thu Nov 23 12:07:56 2023	1700737676	0	15776	15776	15775
Thu Nov 23 12:07:54 2023	1700737674	0	15776	15776	15776
Thu Nov 23 12:07:58 2023	1700737678	0	15776	15776	15776
Thu Nov 23 12:07:55 2023	1700737675	0	15776	15776	15776
Thu Nov 23 12:07:48 2023	1700737668	0	15777	15777	15776
Thu Nov 23 12:07:53 2023	1700737673	0	15777	15777	15777
Thu Nov 23 12:08:00 2023	1700737680	0	15778	15778	15778
Thu Nov 23 12:07:49 2023	1700737669	0	15778	15779	15778
Thu Nov 23 12:07:47 2023	1700737667	0	15779	15779	15779
Thu Nov 23 12:08:05 2023	1700737685	0	15779	15779	15779
Thu Nov 23 12:07:54 2023	1700737674	0	15779	15779	15779
Thu Nov 23 12:08:04 2023	1700737684	0	15779	15779	15779
Thu Nov 23 12:07:54 2023	1700737674	0	15779	15779	15779
Thu Nov 23 12:07:50 2023	1700737670	0	15780	15780	15779
Thu Nov 23 12:07:45 2023	1700737665	0	15780	15780	15780
Thu Nov 23 12:07:59 2023	1700737679	0	15780	15780	15780
Thu Nov 23 12:07:57 2023	1700737677	0	15781	15781	15781
Thu Nov 23 12:08:04 2023	1700737684	0	15781	15781	15781
Thu Nov 23 12:07:55 2023	1700737675	0	15781	15781	15781
Thu Nov 23 12:08:05 2023	1700737685	0	15781	15781	15781
Thu Nov 23 12:08:05 2023	1700737685	0	15782	15782	15781
Thu Nov 23 12:07:55 2023	1700737675	0	15782	15782	15782
Thu Nov 23 12:07:56 2023	1700737676	0	15782	15782	15782
Thu Nov 23 12:07:56 2023	1700737676	0	15782	15782	15782
Thu Nov 23 12:07:49 2023	1700737669	0	15782	15782	15782
Thu Nov 23 12:07:51 2023	1700737671	0	15782	15782	15782
Thu Nov 23 12:07:51 2023	1700737671	0	15782	15782	15782
Thu Nov 23 12:07:48 2023	1700737668	0	15782	15782	15782
Thu Nov 23 12:07:57 2023	1700737677	0	15782	15782	15782
Thu Nov 23 12:07:50 2023	1700737670	0	15783	15783	15783
Thu Nov 23 12:07:51 2023	1700737671	0	15783	15783	15783
Thu Nov 23 12:08:05 2023	1700737685	0	15783	15783	15783
Thu Nov 23 12:07:48 2023	1700737668	0	15783	15783	15783
Thu Nov 23 12:07:54 2023	1700737674	0	15783	15783	15783
Thu Nov 23 12:08:02 2023	1700737682	0	15783	15783	15783
Thu Nov 23 12:08:04 2023	1700737684	0	15784	15784	15784
Thu Nov 23 12:08:02 2023	1700737682	0	15784	15784	15784
Thu Nov 23 12:07:50 2023	1700737670	0	15784	15784	15784
Thu Nov 23 12:07:49 2023	1700737669	0	15784	15784	15784
Thu Nov 23 12:08:01 2023	1700737681	0	15785	15785	15785
Thu Nov 23 12:08:03 2023	1700737683	0	15785	15785	15785
Thu Nov 23 12:08:03 2023	1700737683	0	15785	15785	15785
Thu Nov 23 12:07:50 2023	1700737670	0	15785	15785	15785
Thu Nov 23 12:08:04 2023	1700737684	0	15785	15785	15785
Thu Nov 23 12:08:01 2023	1700737681	0	15785	15785	15785
Thu Nov 23 12:08:06 2023	1700737686	0	15786	15786	15786
Thu Nov 23 12:07:51 2023	1700737671	0	15786	15786	15786
Thu Nov 23 12:08:00 2023	1700737680	0	15786	15786	15786
Thu Nov 23 12:08:06 2023	1700737686	0	15786	15786	15786
Thu Nov 23 12:08:00 2023	1700737680	0	15787	15787	15786
Thu Nov 23 12:08:06 2023	1700737686	0	15787	15787	15787
Thu Nov 23 12:08:10 2023	1700737690	0	15787	15787	15787
Thu Nov 23 12:08:08 2023	1700737688	0	15788	15788	15788
Thu Nov 23 12:08:16 2023	1700737696	0	15788	15788	15788
Thu Nov 23 12:08:11 2023	1700737691	0	15788	15788	15788
Thu Nov 23 12:07:49 2023	1700737669	0	15789	15789	15788
Thu Nov 23 12:08:08 2023	1700737688	0	15789	15789	15789
Thu Nov 23 12:08:11 2023	1700737691	0	15789	15789	15789
Thu Nov 23 12:08:02 2023	1700737682	0	15789	15789	15789
Thu Nov 23 12:08:02 2023	1700737682	0	15789	15789	15789
Thu Nov 23 12:08:15 2023	1700737695	0	15789	15789	15789
Thu Nov 23 12:08:01 2023	1700737681	0	15790	15790	15789
Thu Nov 23 12:08:13 2023	1700737693	0	15790	15790	15790
Thu Nov 23 12:08:01 2023	1700737681	0	15790	15790	15790
Thu Nov 23 12:08:07 2023	1700737687	0	15790	15790	15790
Thu Nov 23 12:08:12 2023	1700737692	0	15790	15790	15790
Thu Nov 23 12:08:10 2023	1700737690	0	15790	15790	15790
Thu Nov 23 12:08:09 2023	1700737689	0	15790	15790	15790
Thu Nov 23 12:08:06 2023	1700737686	0	15791	15791	15791
Thu Nov 23 12:08:15 2023	1700737695	0	15791	15791	15791
Thu Nov 23 12:08:14 2023	1700737694	0	15791	15791	15791
Thu Nov 23 12:08:13 2023	1700737693	0	15791	15791	15791
Thu Nov 23 12:08:12 2023	1700737692	0	15791	15791	15791
Thu Nov 23 12:08:14 2023	1700737694	0	15791	15791	15791
Thu Nov 23 12:08:03 2023	1700737683	0	15791	15791	15791
Thu Nov 23 12:08:07 2023	1700737687	0	15791	15791	15791
Thu Nov 23 12:08:03 2023	1700737683	0	15792	15792	15791
Thu Nov 23 12:07:52 2023	1700737672	0	15792	15792	15792
Thu Nov 23 12:08:09 2023	1700737689	0	15792	15792	15792
Thu Nov 23 12:07:52 2023	1700737672	0	15792	15792	15792
Thu Nov 23 12:08:16 2023	1700737696	0	15794	15794	15794
Thu Nov 23 12:08:10 2023	1700737690	0	15794	15795	15794
Thu Nov 23 12:08:15 2023	1700737695	0	15795	15795	15794
Thu Nov 23 12:08:07 2023	1700737687	0	15795	15795	15794
Thu Nov 23 12:07:52 2023	1700737672	0	15795	15795	15795
Thu Nov 23 12:08:08 2023	1700737688	0	15795	15795	15795
Thu Nov 23 12:08:15 2023	1700737695	0	15795	15795	15795
Thu Nov 23 12:08:08 2023	1700737688	0	15795	15795	15795
Thu Nov 23 12:08:07 2023	1700737687	0	15795	15795	15795
Thu Nov 23 12:08:09 2023	1700737689	0	15795	15795	15795
Thu Nov 23 12:08:14 2023	1700737694	0	15796	15796	15796
Thu Nov 23 12:08:11 2023	1700737691	0	15796	15796	15796
Thu Nov 23 12:08:14 2023	1700737694	0	15796	15796	15796
Thu Nov 23 12:08:11 2023	1700737691	0	15796	15797	15796
Thu Nov 23 12:08:10 2023	1700737690	0	15797	15797	15797
Thu Nov 23 12:08:13 2023	1700737693	0	15797	15797	15797
Thu Nov 23 12:08:13 2023	1700737693	0	15797	15797	15797
Thu Nov 23 12:08:12 2023	1700737692	0	15797	15797	15797
Thu Nov 23 12:08:12 2023	1700737692	0	15798	15798	15797
Thu Nov 23 12:08:12 2023	1700737692	0	15798	15798	15798
Thu Nov 23 12:07:52 2023	1700737672	0	15799	15799	15799
Thu Nov 23 12:08:09 2023	1700737689	0	15799	15799	15799
Thu Nov 23 12:07:52 2023	1700737672	0	15802	15802	15802
Thu Nov 23 12:08:00 2023	1700737680	0	15810	15810	15810
Thu Nov 23 12:07:29 2023	1700737649	0	16012	16012	16012
