starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 10:16:54 2023	1700731014	0	212	212	211
Thu Nov 23 10:16:54 2023	1700731014	0	214	215	214
Thu Nov 23 10:16:54 2023	1700731014	0	438	438	438
Thu Nov 23 10:16:54 2023	1700731014	0	663	663	663
Thu Nov 23 10:16:54 2023	1700731014	0	879	879	878
Thu Nov 23 10:16:54 2023	1700731014	0	1092	1092	1092
Thu Nov 23 10:16:54 2023	1700731014	0	1304	1305	1304
Thu Nov 23 10:16:54 2023	1700731014	0	1517	1517	1517
Thu Nov 23 10:16:54 2023	1700731014	0	1733	1733	1733
Thu Nov 23 10:16:54 2023	1700731014	0	1957	1958	1957
Thu Nov 23 10:16:54 2023	1700731014	0	2176	2176	2176
Thu Nov 23 10:16:54 2023	1700731014	0	2400	2401	2400
Thu Nov 23 10:16:54 2023	1700731014	0	2647	2647	2647
Thu Nov 23 10:16:54 2023	1700731014	0	2882	2882	2882
Thu Nov 23 10:16:54 2023	1700731014	0	3101	3102	3101
Thu Nov 23 10:16:54 2023	1700731014	0	3332	3332	3332
Thu Nov 23 10:16:55 2023	1700731015	0	3354	3354	3354
Thu Nov 23 10:16:55 2023	1700731015	0	3361	3361	3361
Thu Nov 23 10:16:55 2023	1700731015	0	3368	3368	3368
Thu Nov 23 10:16:55 2023	1700731015	0	3379	3379	3379
Thu Nov 23 10:16:56 2023	1700731016	0	3385	3385	3385
Thu Nov 23 10:16:56 2023	1700731016	0	3405	3405	3405
Thu Nov 23 10:16:56 2023	1700731016	0	3443	3443	3443
Thu Nov 23 10:16:56 2023	1700731016	0	3460	3460	3460
Thu Nov 23 10:16:57 2023	1700731017	0	3665	3665	3664
Thu Nov 23 10:16:58 2023	1700731018	0	3671	3671	3671
Thu Nov 23 10:16:58 2023	1700731018	0	3674	3674	3674
Thu Nov 23 10:16:57 2023	1700731017	0	3676	3676	3675
Thu Nov 23 10:16:56 2023	1700731016	0	3684	3684	3684
Thu Nov 23 10:16:57 2023	1700731017	0	3692	3692	3692
Thu Nov 23 10:16:57 2023	1700731017	0	3697	3697	3697
Thu Nov 23 10:16:54 2023	1700731014	0	5415	5416	5415
