starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 10:16:43 2023	1700731003	0	202	202	202
Thu Nov 23 10:16:44 2023	1700731004	0	204	204	204
Thu Nov 23 10:16:41 2023	1700731001	0	204	204	204
Thu Nov 23 10:16:42 2023	1700731002	0	204	204	204
Thu Nov 23 10:16:44 2023	1700731004	0	204	205	204
Thu Nov 23 10:16:45 2023	1700731005	0	205	205	205
Thu Nov 23 10:16:43 2023	1700731003	0	205	205	205
Thu Nov 23 10:16:44 2023	1700731004	0	205	205	205
Thu Nov 23 10:16:42 2023	1700731002	0	205	205	205
Thu Nov 23 10:16:42 2023	1700731002	0	205	205	205
Thu Nov 23 10:16:46 2023	1700731006	0	205	205	205
Thu Nov 23 10:16:45 2023	1700731005	0	205	205	205
Thu Nov 23 10:16:42 2023	1700731002	0	205	205	205
Thu Nov 23 10:16:44 2023	1700731004	0	205	206	205
Thu Nov 23 10:16:43 2023	1700731003	0	206	206	206
Thu Nov 23 10:16:46 2023	1700731006	0	206	206	206
Thu Nov 23 10:16:47 2023	1700731007	0	207	207	207
Thu Nov 23 10:16:45 2023	1700731005	0	207	207	207
Thu Nov 23 10:16:47 2023	1700731007	0	207	207	207
Thu Nov 23 10:16:47 2023	1700731007	0	207	207	207
Thu Nov 23 10:16:45 2023	1700731005	0	209	209	209
Thu Nov 23 10:16:46 2023	1700731006	0	209	209	209
Thu Nov 23 10:16:46 2023	1700731006	0	210	210	210
Thu Nov 23 10:16:43 2023	1700731003	0	210	210	210
Thu Nov 23 10:16:46 2023	1700731006	0	210	210	210
Thu Nov 23 10:16:42 2023	1700731002	0	214	214	214
Thu Nov 23 10:16:47 2023	1700731007	0	214	214	214
Thu Nov 23 10:16:45 2023	1700731005	0	216	216	215
Thu Nov 23 10:16:41 2023	1700731001	0	216	216	216
Thu Nov 23 10:16:43 2023	1700731003	0	217	217	217
Thu Nov 23 10:16:41 2023	1700731001	0	253	253	253
Thu Nov 23 10:16:40 2023	1700731000	0	1435	1435	1435
