starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 10:16:47 2023	1700731007	0	209	209	209
Thu Nov 23 10:16:48 2023	1700731008	0	209	210	209
Thu Nov 23 10:16:48 2023	1700731008	0	415	416	415
Thu Nov 23 10:16:48 2023	1700731008	0	623	623	623
Thu Nov 23 10:16:48 2023	1700731008	0	832	832	832
Thu Nov 23 10:16:48 2023	1700731008	0	1039	1040	1039
Thu Nov 23 10:16:48 2023	1700731008	0	1246	1247	1246
Thu Nov 23 10:16:48 2023	1700731008	0	1453	1454	1453
Thu Nov 23 10:16:48 2023	1700731008	0	1661	1661	1661
Thu Nov 23 10:16:48 2023	1700731008	0	1664	1664	1663
Thu Nov 23 10:16:48 2023	1700731008	0	1670	1670	1670
Thu Nov 23 10:16:48 2023	1700731008	0	1671	1671	1671
Thu Nov 23 10:16:49 2023	1700731009	0	1676	1676	1676
Thu Nov 23 10:16:49 2023	1700731009	0	1683	1683	1683
Thu Nov 23 10:16:49 2023	1700731009	0	1686	1686	1685
Thu Nov 23 10:16:49 2023	1700731009	0	1690	1690	1690
Thu Nov 23 10:16:49 2023	1700731009	0	1691	1691	1691
Thu Nov 23 10:16:53 2023	1700731013	0	1691	1691	1691
Thu Nov 23 10:16:50 2023	1700731010	0	1691	1691	1691
Thu Nov 23 10:16:52 2023	1700731012	0	1693	1693	1693
Thu Nov 23 10:16:50 2023	1700731010	0	1696	1696	1696
Thu Nov 23 10:16:52 2023	1700731012	0	1701	1701	1701
Thu Nov 23 10:16:52 2023	1700731012	0	1703	1703	1703
Thu Nov 23 10:16:52 2023	1700731012	0	1710	1710	1710
Thu Nov 23 10:16:50 2023	1700731010	0	1713	1713	1713
Thu Nov 23 10:16:50 2023	1700731010	0	1722	1722	1722
Thu Nov 23 10:16:51 2023	1700731011	0	1724	1724	1724
Thu Nov 23 10:16:50 2023	1700731010	0	1725	1725	1725
Thu Nov 23 10:16:51 2023	1700731011	0	1725	1725	1725
Thu Nov 23 10:16:51 2023	1700731011	0	1728	1728	1728
Thu Nov 23 10:16:51 2023	1700731011	0	1728	1728	1728
Thu Nov 23 10:16:51 2023	1700731011	0	1731	1731	1730
