starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 22 16:34:50 2023	1700667290	0	1808	1808	1808
Wed Nov 22 16:34:48 2023	1700667288	0	1825	1825	1825
Wed Nov 22 16:34:41 2023	1700667281	0	1837	1837	1836
Wed Nov 22 16:34:52 2023	1700667292	0	1837	1837	1836
Wed Nov 22 16:34:43 2023	1700667283	0	1849	1849	1849
Wed Nov 22 16:34:54 2023	1700667294	0	1854	1854	1853
Wed Nov 22 16:34:39 2023	1700667279	0	1859	1859	1859
Wed Nov 22 16:34:45 2023	1700667285	0	1870	1871	1870
Wed Nov 22 16:34:46 2023	1700667286	0	1877	1877	1877
Wed Nov 22 16:34:58 2023	1700667298	0	1896	1896	1896
Wed Nov 22 16:34:56 2023	1700667296	0	1965	1965	1965
Wed Nov 22 16:35:00 2023	1700667300	0	2188	2188	2188
Wed Nov 22 16:35:25 2023	1700667325	0	2209	2209	2209
Wed Nov 22 16:35:47 2023	1700667347	0	2220	2220	2220
Wed Nov 22 16:35:32 2023	1700667332	0	2230	2230	2230
Wed Nov 22 16:35:09 2023	1700667309	0	2254	2254	2254
Wed Nov 22 16:35:11 2023	1700667311	0	2259	2259	2258
Wed Nov 22 16:35:28 2023	1700667328	0	2268	2268	2268
Wed Nov 22 16:35:44 2023	1700667344	0	2283	2283	2283
Wed Nov 22 16:35:02 2023	1700667302	0	2296	2296	2296
Wed Nov 22 16:35:06 2023	1700667306	0	2302	2302	2301
Wed Nov 22 16:35:42 2023	1700667342	0	2311	2311	2311
Wed Nov 22 16:35:13 2023	1700667313	0	2325	2325	2325
Wed Nov 22 16:35:40 2023	1700667340	0	2325	2325	2325
Wed Nov 22 16:35:20 2023	1700667320	0	2331	2331	2331
Wed Nov 22 16:35:04 2023	1700667304	0	2335	2335	2335
Wed Nov 22 16:35:18 2023	1700667318	0	2404	2404	2403
Wed Nov 22 16:35:37 2023	1700667337	0	2471	2471	2470
Wed Nov 22 16:35:15 2023	1700667315	0	2476	2476	2476
Wed Nov 22 16:35:30 2023	1700667330	0	2521	2521	2521
Wed Nov 22 16:35:35 2023	1700667335	0	2562	2562	2562
Wed Nov 22 16:35:23 2023	1700667323	0	2671	2671	2671
