starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 22 16:35:51 2023	1700667351	0	2210	2210	2210
Wed Nov 22 16:35:49 2023	1700667349	0	2236	2236	2235
Wed Nov 22 16:35:51 2023	1700667351	0	4490	4490	4490
Wed Nov 22 16:35:51 2023	1700667351	0	6750	6750	6750
Wed Nov 22 16:35:51 2023	1700667351	0	9219	9220	9219
Wed Nov 22 16:35:51 2023	1700667351	0	11574	11574	11573
Wed Nov 22 16:35:51 2023	1700667351	1	14034	14034	14034
Wed Nov 22 16:35:51 2023	1700667351	1	16283	16283	16282
Wed Nov 22 16:36:28 2023	1700667388	0	18287	18287	18287
Wed Nov 22 16:36:30 2023	1700667390	0	18291	18292	18291
Wed Nov 22 16:36:35 2023	1700667395	0	18397	18397	18397
Wed Nov 22 16:36:26 2023	1700667386	0	18406	18406	18405
Wed Nov 22 16:36:05 2023	1700667365	0	18406	18406	18406
Wed Nov 22 16:36:33 2023	1700667393	0	18411	18411	18411
Wed Nov 22 16:36:19 2023	1700667379	0	18418	18418	18418
Wed Nov 22 16:36:23 2023	1700667383	0	18426	18426	18426
Wed Nov 22 16:36:07 2023	1700667367	0	18441	18441	18440
Wed Nov 22 16:36:17 2023	1700667377	0	18470	18470	18470
Wed Nov 22 16:36:40 2023	1700667400	0	18495	18495	18495
Wed Nov 22 16:36:21 2023	1700667381	0	18501	18501	18500
Wed Nov 22 16:35:51 2023	1700667351	1	18511	18511	18511
Wed Nov 22 16:36:10 2023	1700667370	0	18561	18561	18561
Wed Nov 22 16:36:37 2023	1700667397	0	18567	18567	18567
Wed Nov 22 16:36:12 2023	1700667372	0	18568	18568	18568
Wed Nov 22 16:36:03 2023	1700667363	0	18581	18581	18580
Wed Nov 22 16:35:55 2023	1700667355	0	18589	18589	18589
Wed Nov 22 16:36:14 2023	1700667374	0	18620	18620	18620
Wed Nov 22 16:35:53 2023	1700667353	0	18640	18640	18639
Wed Nov 22 16:36:00 2023	1700667360	0	18707	18707	18707
Wed Nov 22 16:36:42 2023	1700667402	0	18776	18777	18776
Wed Nov 22 16:35:58 2023	1700667358	0	18827	18827	18827
Wed Nov 22 16:36:44 2023	1700667404	0	19012	19012	19011
